category,type,subcategory,url
Women,Cardigans,Cashmere,https://www.marksandspencer.com/ae/l/women/cashmere-3/cardigans/
Women,All Boots,All Footwear,https://www.marksandspencer.com/ae/l/women/all-footwear/all-boots/
Women,Loafers,All Footwear,https://www.marksandspencer.com/ae/l/women/all-footwear/loafers/
Women,Ankle Boots,All Footwear,https://www.marksandspencer.com/ae/l/women/all-footwear/ankle-boots/
Women,Extra Wide Fit Shoes,All Footwear,https://www.marksandspencer.com/ae/l/women/all-footwear/extra-wide-fit-shoes/
Women,Court Shoes,All Footwear,https://www.marksandspencer.com/ae/l/women/all-footwear/court-shoes/
Women,Occasion & Party Shoes,All Footwear,https://www.marksandspencer.com/ae/l/women/all-footwear/occasion-and-party-shoes/
Women,All Shoes,All Footwear,https://www.marksandspencer.com/ae/l/women/all-footwear/all-shoes/
Women,All Sandals,All Footwear,https://www.marksandspencer.com/ae/l/women/all-footwear/all-sandals/
Women,Work Shoes & Boots,All Footwear,https://www.marksandspencer.com/ae/l/women/all-footwear/work-shoes-and-boots/
Women,Trainers,All Footwear,https://www.marksandspencer.com/ae/l/women/all-footwear/trainers/
Women,Slippers,All Footwear,https://www.marksandspencer.com/ae/l/women/all-footwear/slippers/
Women,Flats,All Footwear,https://www.marksandspencer.com/ae/l/women/all-footwear/flats/
Women,Ankle Boots,Boots,https://www.marksandspencer.com/ae/l/women/all-footwear/all-boots/ankle-boots/
Women,Flat Sandals,Sandals,https://www.marksandspencer.com/ae/l/women/all-footwear/all-sandals/flat-sandals/
Women,Heeled Sandals,Sandals,https://www.marksandspencer.com/ae/l/women/all-footwear/all-sandals/heeled-sandals/
Women,Court Shoes,Shoes,https://www.marksandspencer.com/ae/l/women/all-footwear/all-shoes/court-shoes/
Women,Pumps,Shoes,https://www.marksandspencer.com/ae/l/women/all-footwear/all-shoes/pumps/
Women,Loafers,Shoes,https://www.marksandspencer.com/ae/l/women/all-footwear/all-shoes/loafers/
Women,Wedding shoes,Shoes,https://www.marksandspencer.com/ae/l/women/all-footwear/all-shoes/wedding-shoes/
Women,Slippers,NA,https://www.marksandspencer.com/ae/l/women/slippers/
Women,Bags & Purses,All Accessories,https://www.marksandspencer.com/ae/l/women/all-accessories/bags-and-purses/
Women,Belts,All Accessories,https://www.marksandspencer.com/ae/l/women/all-accessories/belts/
Women,"Hats, Scarves & Gloves",All Accessories,https://www.marksandspencer.com/ae/l/women/all-accessories/hats-scarves-and-gloves/
Women,"Wraps, Capes & Ponchos",All Accessories,https://www.marksandspencer.com/ae/l/women/all-accessories/wraps-capes-and-ponchos/
Women,Umbrellas,All Accessories,https://www.marksandspencer.com/ae/l/women/all-accessories/umbrellas/
Women,Occasion Hats & Fascinators,All Accessories,https://www.marksandspencer.com/ae/l/women/all-accessories/occasion-hats-and-fascinators/
Women,Sunglasses,All Accessories,https://www.marksandspencer.com/ae/l/women/all-accessories/sunglasses/
Women,Reading Glasses,All Accessories,https://www.marksandspencer.com/ae/l/women/all-accessories/reading-glasses/
Women,Handbags & Purses,NA,https://www.marksandspencer.com/ae/l/women/handbags-and-purses/
Women,Jewellery & Watches,NA,https://www.marksandspencer.com/ae/l/women/jewellery-and-watches/
Women,Animal Print,NA,https://www.marksandspencer.com/ae/l/women/animal-print/
Women,Spot On,NA,https://www.marksandspencer.com/ae/l/women/spot-on/
Women,Must-Haves,NA,https://www.marksandspencer.com/ae/l/women/must-haves/
Women,Holly's Must Haves,NA,https://www.marksandspencer.com/ae/l/women/hollys-must-haves/
Women,Mother of the Bride,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/mother-of-the-bride/
Women,Occasionwear,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/occasionwear/
Women,Bridesmaid Dresses,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/bridesmaid-dresses/
Women,Bridal Lingerie,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/bridal-lingerie/
Women,Occasion Shoes,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/occasion-shoes/
Women,Occasion Hats & Fascinators,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/occasion-hats-and-fascinators/
Women,Occasion Bags,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/occasion-bags/
Women,Shapewear,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/shapewear/
Women,Strapless & Multiway Bras,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/strapless-and--multiway-bras/
Women,Occasion Jewellery,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/occasion-jewellery/
Women,Wedding & Occasion Suits,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/wedding-and-occasion-suits/
Women,Formal Shirts,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/formal-shirts/
Women,Smart shoes,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/smart-shoes/
Women,Ties & Formal Accessories,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/ties-and-formal-accessories/
Women,Three Piece Suits,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/three-piece-suits/
Women,Cufflinks,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/cufflinks/
Women,Blazers & Smart Jackets,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/blazers-and-smart-jackets/
Women,Waistcoats,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/waistcoats/
Women,Page Boys,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/page-boys/
Women,Flower Girls,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/flower-girls/
Women,Girls' partywear,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/girls-partywear/
Women,Boys' Suits,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/boys-suits/
Women,Boys' partywear,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/boys-partywear/
Women,Girls' shoes & accessories,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/girls-shoes-and-accessories/
Women,Boys' shoes & accessories,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/boys-shoes-and-accessories/
Women,Baby Occasionwear,Wedding & Special Occasions,https://www.marksandspencer.com/ae/l/women/wedding-and-special-occasions/baby-occasionwear/
Women,Dresses,Curve: Plus Size,https://www.marksandspencer.com/ae/l/women/curve-plus-size/dresses/
Women,Coats & Jackets,Curve: Plus Size,https://www.marksandspencer.com/ae/l/women/curve-plus-size/coats-and-jackets/
Women,Jumpers & Cardigans,Curve: Plus Size,https://www.marksandspencer.com/ae/l/women/curve-plus-size/jumpers-and-cardigans/
Women,Tops & T-Shirts,Curve: Plus Size,https://www.marksandspencer.com/ae/l/women/curve-plus-size/tops-and-t-shirts/
Women,Skirts,Curve: Plus Size,https://www.marksandspencer.com/ae/l/women/curve-plus-size/skirts/
Women,Trousers & Leggings,Curve: Plus Size,https://www.marksandspencer.com/ae/l/women/curve-plus-size/trousers-and-leggings/
Women,Plus Size Suits & Tailoring,Curve: Plus Size,https://www.marksandspencer.com/ae/l/women/curve-plus-size/plus-size-suits-and-tailoring/
Women,Bras,Maternity,https://www.marksandspencer.com/ae/l/women/maternity/bras/
Women,Maternity Clothing,Maternity,https://www.marksandspencer.com/ae/l/women/maternity/maternity-clothing/
Women,Nightwear,Maternity,https://www.marksandspencer.com/ae/l/women/maternity/nightwear/
Women,Tights,Maternity,https://www.marksandspencer.com/ae/l/women/maternity/tights/
Women,Dresses,Petite,https://www.marksandspencer.com/ae/l/women/petite/dresses/
Women,Skirts,Petite,https://www.marksandspencer.com/ae/l/women/petite/skirts/
Women,Trousers & Leggings,Petite,https://www.marksandspencer.com/ae/l/women/petite/trousers-and-leggings/
Women,Coats & Jackets,Petite,https://www.marksandspencer.com/ae/l/women/petite/coats-and-jackets/
Women,Jumpers & Cardigans,Petite,https://www.marksandspencer.com/ae/l/women/petite/jumpers-and-cardigans/
Women,Tops & T-Shirts,Petite,https://www.marksandspencer.com/ae/l/women/petite/tops-and-t-shirts/
Lingerie,Lace Bras,All Bras,https://www.marksandspencer.com/ae/l/lingerie/all-bras/lace-bras/
Lingerie,DD+ Bras,All Bras,https://www.marksandspencer.com/ae/l/lingerie/all-bras/dd-bras/
Lingerie,First Bras,All Bras,https://www.marksandspencer.com/ae/l/lingerie/all-bras/first-bras/
